date,open,high,low,close,volume,maket cap
2014-4-13,420.92838535,432.49285026,393.16408992,413.60539791,47527.55520736,19657653.3832022
2014-4-14,414.33989727,470.6592307,406.39709638,458.22015327,94204.25765471,43166289.38142468
2014-4-15,457.23403204,525.50803159,453.53754179,520.86876938,88758.50470496,46231533.1179888
2014-4-16,520.16821054,546.60773263,493.95939242,527.85605542,88795.38783169,46871183.16011511
2014-4-17,530.10129744,534.21017896,482.62856307,496.09389088,56110.23794251,27835946.25927049
2014-4-18,496.44757353,500.5728362,470.3215194,479.60118457,32084.6280211,15387825.60535317
2014-4-19,479.49450963,507.22786245,469.84623094,500.76265115,30582.03740439,15314342.12803894
2014-4-2,479.67961534,494.11133702,430.72590933,438.37782382,96314.58755168,42222179.29297322
2014-4-20,501.8228928,513.38260276,490.37092535,498.31720464,16441.32979824,8192997.50568784
2014-4-21,497.31590211,510.99671883,491.09971897,494.00649902,23657.39813154,11686908.42691604
2014-4-22,493.62698343,517.15439499,484.58752447,486.00832849,19234.24237613,9348001.98707138
2014-4-23,485.86374874,502.55493437,483.46786662,490.45476887,14675.49691799,7197667.44902554
2014-4-24,490.5225332,515.3894319,479.37137207,500.52266729,19304.11509746,9662147.17820426
2014-4-25,500.88330441,512.59725818,443.35435834,462.27271817,83702.83646554,38693537.73181609
2014-4-26,462.70481635,468.11876249,449.21492083,458.34700894,21773.66240552,9979893.03716204
2014-4-27,458.35759631,469.51179037,436.68837495,437.93580432,19907.94397649,8718401.45760737
2014-4-28,429.53545201,448.50023792,423.26308406,440.59045544,45099.85998327,19870567.85011554
2014-4-29,440.44017741,464.54735609,433.8553681,447.55509198,28619.20650352,12808671.59914384
2014-4-3,437.32208923,452.4414054,414.8111042,446.81975514,74292.74954889,33195468.16222008
2014-4-30,447.19932253,464.0259081,436.05944727,448.64860171,26388.74079084,11839271.65673014
2014-4-4,448.59714408,457.3271717,429.18411709,451.64599241,39267.66734771,17735084.58897259
2014-4-5,450.02779791,466.38546994,445.1077834,464.37932234,21574.14453682,10018586.62011181
2014-4-6,465.88879927,472.36598631,450.59741307,462.21579903,16624.90199963,7684292.36151955
2014-4-7,462.12175864,465.23847591,443.34249981,448.45264584,28631.52628784,12839883.71817693
2014-4-8,446.73871546,463.62650629,444.7773765,452.47466362,18306.71112114,8283322.95653997
2014-4-9,452.16979694,464.30514965,440.36643951,449.89217685,23268.96123972,10468523.62519942
2014-5-1,446.82845513,462.89882942,446.82845513,461.10856353,22765.77074915,10497491.84777472
2014-5-10,449.82895057,465.02473985,447.5273517,454.04201617,11408.68867998,5180024.01016092
2014-5-11,453.44662507,469.83419795,431.90341056,438.52906255,24052.30206717,10547633.47773421
2014-5-12,438.50854665,445.11145124,433.59906123,439.59206536,12779.35746477,5617704.1419385
2014-5-13,439.63180277,455.82502071,434.30607711,437.72528219,14642.08769005,6409211.96591171
2014-5-14,437.72959833,449.19071424,436.71407469,442.7148959,16577.34572477,7339037.88677036
2014-5-15,441.35954915,450.9559505,441.35954915,449.02147354,12037.98919031,5405315.64470922
2014-5-16,448.97681971,451.68131455,444.02495065,445.62644117,10279.1453102,4580658.94284742
2014-5-17,445.80475425,449.53613322,443.34681311,446.75706805,5607.9638818,2505397.50156215
2014-5-18,446.5874911,447.07580021,443.78259527,445.20013098,5472.81106914,2436496.20483102
2014-5-19,445.48131574,445.98460481,441.65063133,444.90019957,11063.37044583,4922095.71925614
2014-5-2,460.67978187,467.68354888,443.23869949,449.85814312,18786.80394518,8451396.73793244
2014-5-20,444.88666113,492.98208045,444.01236601,486.09469881,69382.83458251,33726628.07905196
2014-5-21,485.89398117,495.3383923,485.26757178,489.71167222,21540.57885813,10548672.89321122
2014-5-22,490.08618886,526.22496827,487.84643087,525.13368811,48691.87355094,25569743.13893188
2014-5-23,526.45335291,544.56431984,518.73285676,520.65134517,53429.08264372,27817923.74976821
2014-5-24,521.0892831,531.06623002,512.22736691,527.52046087,16026.79760356,8454463.65810797
2014-5-25,527.40566032,581.73543238,526.2309343,571.69715629,68294.58926818,39043822.47487954
